iter	Passed	Remaining
406	6348	9249
407	6362	9231
408	6377	9214
409	6391	9197
410	6405	9179
411	6420	9163
412	6435	9146
413	6449	9129
414	6464	9112
415	6479	9096
416	6494	9079
417	6509	9063
418	6524	9047
419	6539	9030
420	6553	9013
421	6567	8995
422	6582	8978
423	6596	8961
424	6611	8945
425	6626	8928
426	6640	8910
427	6655	8894
428	6670	8878
429	6684	8860
430	6698	8843
431	6712	8826
432	6727	8808
433	6741	8791
434	6755	8774
435	6771	8758
436	6799	8759
437	6821	8753
438	6838	8738
439	6854	8723
440	6879	8720
441	6897	8707
442	6912	8691
443	6937	8687
444	6964	8686
445	6979	8669
446	6994	8653
447	7009	8636
448	7024	8619
449	7037	8601
450	7051	8584
451	7065	8566
452	7080	8550
453	7095	8533
454	7110	8516
455	7124	8499
456	7139	8482
457	7154	8467
458	7170	8451
459	7185	8434
460	7199	8417
461	7213	8400
462	7227	8382
463	7242	8366
464	7257	8349
465	7272	8333
466	7286	8316
467	7301	8299
468	7315	8282
469	7329	8265
470	7344	8248
471	7358	8232
472	7373	8215
473	7388	8199
474	7403	8182
475	7417	8165
476	7431	8148
477	7446	8131
478	7460	8115
479	7475	8098
480	7490	8081
481	7504	8065
482	7519	8049
483	7534	8032
484	7548	8015
485	7562	7997
486	7576	7980
487	7590	7963
488	7605	7947
489	7620	7931
490	7634	7914
491	7648	7897
492	7663	7881
493	7678	7864
494	7692	7848
495	7707	7831
496	7721	7814
497	7736	7798
498	7750	7781
499	7767	7767
500	7781	7750
501	7796	7734
502	7811	7718
503	7825	7701
504	7855	7699
505	7875	7688
506	7897	7679
507	7919	7669
508	7941	7660
509	7955	7643
510	7978	7635
511	7995	7620
512	8010	7604
513	8035	7597
514	8051	7582
515	8068	7568
516	8084	7552
517	8099	7536
518	8113	7519
519	8127	7502
520	8142	7485
521	8158	7470
522	8172	7454
523	8186	7436
524	8200	7419
525	8214	7402
526	8228	7385
527	8242	7368
528	8256	7351
529	8271	7334
530	8284	7317
531	8299	7301
532	8314	7284
533	8328	7268
534	8342	7251
535	8357	7234
536	8371	7218
537	8385	7201
538	8400	7184
539	8414	7168
540	8428	7151
541	8443	7134
542	8458	7118
543	8471	7101
544	8486	7085
545	8500	7068
546	8516	7052
547	8530	7036
548	8544	7019
549	8559	7002
550	8573	6986
551	8588	6970
552	8602	6953
553	8616	6936
554	8630	6919
555	8644	6903
556	8659	6887
557	8673	6870
558	8688	6854
559	8702	6837
560	8716	6821
561	8731	6805
562	8746	6788
563	8760	6771
564	8774	6755
565	8788	6738
566	8802	6721
567	8816	6705
568	8830	6688
569	8844	6672
570	8858	6655
571	8885	6648
572	8910	6640
573	8925	6624
574	8952	6617
575	8967	6601
576	8986	6587
577	9000	6571
578	9015	6555
579	9029	6538
580	9043	6522
581	9066	6511
582	9085	6498
583	9100	6482
584	9128	6475
585	9143	6459
586	9157	6443
587	9172	6426
588	9186	6410
589	9200	6393
590	9214	6377
591	9229	6360
592	9243	6344
593	9257	6327
594	9272	6311
595	9286	6295
596	9301	6278
597	9315	6262
598	9330	6246
599	9344	6229
600	9358	6213
601	9372	6196
602	9386	6179
603	9400	6163
604	9414	6146
605	9428	6130
606	9442	6113
607	9456	6097
608	9471	6080
609	9485	6064
610	9500	6048
611	9514	6032
612	9529	6016
613	9544	6000
614	9558	5983
615	9572	5967
616	9586	5950
617	9600	5934
618	9615	5918
