iter	Logloss
127	0.1676671468
128	0.1674857412
129	0.1673242973
130	0.1670282886
131	0.1666561502
132	0.1664612776
133	0.1660340873
134	0.1658305523
135	0.165710885
136	0.1655068636
137	0.1651750043
138	0.1650502775
139	0.1648195654
140	0.1647021178
141	0.1645924165
142	0.1642003134
143	0.1638781454
144	0.1637768899
145	0.1635011016
146	0.1633636018
147	0.1632313989
148	0.1627329819
149	0.16233187
150	0.162226992
151	0.1620288132
152	0.1615909917
153	0.1612225238
154	0.1610215228
155	0.1606151783
156	0.1603778982
157	0.1599847215
158	0.1598089754
159	0.1596738858
160	0.1594683536
161	0.1591357867
162	0.1589889351
163	0.1584596966
164	0.1581628963
165	0.1579885998
166	0.1578801
167	0.1575510999
168	0.1571642873
169	0.1568520615
170	0.1564385165
171	0.1563285513
172	0.1562052807
173	0.1558447222
174	0.1556158727
175	0.1553599409
176	0.1552321068
177	0.1550470848
178	0.1549347885
179	0.1546542074
180	0.1545371296
181	0.1542564916
182	0.1539841604
183	0.1537326227
184	0.1536454799
185	0.1535273735
186	0.1532392421
187	0.1531397726
188	0.1529363971
189	0.1527827418
190	0.1524277123
191	0.1522920012
192	0.1519740735
193	0.151659991
194	0.1515632791
195	0.1513816724
196	0.1512992992
197	0.1511855367
198	0.1509920039
199	0.1507956493
200	0.1506279879
201	0.1503096427
202	0.1501283361
203	0.1500316289
204	0.1499420831
205	0.1497354689
206	0.1494978971
207	0.149357179
208	0.1492425839
209	0.1491153954
210	0.1490133619
211	0.1488710225
212	0.1487801418
213	0.1486514367
214	0.1485331221
215	0.1484193354
216	0.1481565783
217	0.1479334996
218	0.1478324445
219	0.1476747225
220	0.1475722916
221	0.1474370559
222	0.1473925402
223	0.147319538
224	0.1472129207
225	0.1471519884
226	0.1470348032
227	0.1468889746
228	0.1466730038
229	0.1462347646
230	0.1461327304
231	0.145978701
232	0.1458285231
233	0.1457093352
234	0.1455572242
235	0.1454353599
236	0.1453308551
237	0.1451578248
238	0.1450237156
239	0.1449068215
240	0.144613964
241	0.1445060114
242	0.1443002469
243	0.144204422
244	0.1441214829
245	0.1438744541
246	0.1437580335
247	0.1436659498
248	0.1435781158
249	0.1434642608
250	0.1433739661
251	0.1432341661
252	0.1430990366
253	0.1428857271
254	0.1427767435
255	0.1426967944
256	0.1424870549
257	0.1423718585
258	0.1421165948
259	0.1419290605
260	0.1416195378
261	0.1415674848
262	0.141364731
263	0.1413007157
264	0.141123095
265	0.1408234386
266	0.1405937484
267	0.1404149294
268	0.1403473814
269	0.1402905859
270	0.1401625972
271	0.1400783137
272	0.1400051353
273	0.1398856642
274	0.1397095408
275	0.1395276241
276	0.1393569543
277	0.139281505
278	0.1391176234
279	0.1390229223
280	0.1389688165
281	0.1387113704
282	0.138583151
283	0.1384878163
284	0.1383650932
285	0.1381397583
286	0.1379414868
287	0.1378596801
288	0.1377070747
289	0.1376234859
290	0.13743256
291	0.1373462269
292	0.1372423544
293	0.1370600752
294	0.1369499696
295	0.1368013346
296	0.1366118521
297	0.1364655888
298	0.1362305109
299	0.1361361233
300	0.1360618199
301	0.1359643579
302	0.1358750705
303	0.1357479404
304	0.1356068459
305	0.1354772644
306	0.1353814758
307	0.1351990121
308	0.1351037418
309	0.1348585149
310	0.1347629995
311	0.1346355029
312	0.1345629562
313	0.134485331
314	0.1343798573
315	0.1343277614
316	0.1341947646
317	0.134082266
318	0.1340776339
319	0.1340615909
320	0.1339569787
321	0.1338643128
322	0.1337926112
323	0.1335216504
324	0.1334111961
325	0.133317371
326	0.1331830601
327	0.1330858837
328	0.1327458201
329	0.1326251107
330	0.132545469
331	0.1323524853
332	0.1322522879
333	0.1320383468
334	0.1319436165
335	0.1318985403
336	0.1318291732
337	0.1317615993
338	0.1316486851
339	0.1315389704
340	0.1314819645
341	0.131405974
342	0.1313492373
343	0.1311607747
344	0.131095543
345	0.1310077911
346	0.1308992703
347	0.1308499531
348	0.1306439046
349	0.1305037265
350	0.130442006
351	0.1304039826
352	0.1303161107
353	0.1302875816
354	0.1301919566
355	0.1301075859
356	0.130023694
357	0.1299136637
358	0.1298287135
359	0.1297341697
360	0.1296529028
361	0.1295553504
362	0.1294874886
363	0.1294600401
364	0.1291981771
365	0.1289623273
366	0.1288705164
367	0.1287439796
368	0.1286440957
369	0.128430323
370	0.1282805861
371	0.1282350915
372	0.1281034209
373	0.1280768625
374	0.1280586024
375	0.1279410213
376	0.1277635162
377	0.1276121033
378	0.1274686557
379	0.1273384821
380	0.1272483683
381	0.1271669429
382	0.1270942936
383	0.127055415
384	0.1268001682
385	0.1267084406
386	0.1265474049
387	0.1264251507
388	0.1263753812
389	0.1263178465
390	0.1261287171
391	0.1259692516
392	0.125905326
393	0.1256881574
394	0.1256397693
395	0.1255772265
396	0.1255078033
397	0.1254170472
398	0.125184788
399	0.1250820236
400	0.1249541837
401	0.1247708299
402	0.1247153278
403	0.1246323592
404	0.1245970179
405	0.1244536367
406	0.1243118284
407	0.1241650159
408	0.1240206849
409	0.1237752051
410	0.1237098608
411	0.1236477293
412	0.1235012481
413	0.1234013618
414	0.1232920123
415	0.1232019849
416	0.1231533977
417	0.1229782543
418	0.1229267001
419	0.1228354497
420	0.12276476
421	0.122679006
422	0.1224982771
423	0.1224056578
424	0.1222644985
425	0.1221674416
426	0.1221066375
427	0.1220201965
428	0.1219537297
429	0.1218904373
430	0.1218129027
431	0.1217775862
432	0.1216968706
433	0.1215700581
434	0.1214863596
435	0.1213855496
436	0.1212938832
437	0.1212571131
438	0.1211857144
439	0.1210922447
440	0.1209193431
441	0.1207602014
442	0.1206771932
443	0.1206580719
444	0.1205753708
445	0.1204637321
446	0.1204079023
447	0.1203097773
448	0.1201336361
449	0.1201041895
450	0.120065133
451	0.1200541866
452	0.1198998545
453	0.119833309
454	0.1197535124
455	0.119622346
456	0.1195697408
457	0.1195444681
458	0.1194600247
459	0.1193724552
460	0.1193061769
461	0.1192358582
462	0.1192281264
463	0.1191460026
464	0.1190568309
465	0.1189657272
466	0.1189164477
467	0.1188654886
468	0.1188328211
469	0.1187893087
470	0.1187010983
471	0.1186395882
472	0.1185412967
473	0.1184800311
474	0.1183588984
475	0.1183109374
476	0.1182570318
477	0.1181987094
478	0.1180518406
479	0.1179788437
480	0.1178849941
481	0.1178110153
482	0.1177253887
483	0.1176516442
484	0.1176176449
485	0.1175576165
486	0.1174842649
487	0.1174666647
488	0.1173780127
489	0.1172842203
490	0.1172221403
491	0.1171191122
492	0.117023364
493	0.1169445866
494	0.1168120734
495	0.1167460903
496	0.1166459821
497	0.1165698893
498	0.1164769887
499	0.1164070306
500	0.1163638409
501	0.116280911
502	0.1161598862
503	0.1160835968
504	0.116023678
505	0.1160022161
506	0.1159239061
507	0.1157586433
508	0.1156940365
509	0.1156230924
510	0.1155364446
511	0.1154731982
512	0.1153394374
513	0.1152209478
514	0.11513821
515	0.1150840379
516	0.1150032803
517	0.114890741
518	0.1148180233
519	0.1147113044
520	0.1146470153
521	0.1146033802
522	0.1145471252
523	0.1144618975
524	0.114416688
525	0.1143755097
526	0.1142733716
527	0.1141657866
528	0.1141290533
529	0.1140792854
530	0.1140411914
531	0.1139466227
532	0.1138173826
533	0.1137861478
534	0.1136915518
535	0.1136187945
536	0.1135408329
537	0.1134986998
538	0.1134179367
539	0.1132364577
540	0.1131786633
541	0.1130959606
542	0.1129491267
543	0.1128954638
544	0.1128426447
545	0.1127918544
546	0.1127174126
547	0.1126109921
548	0.1125165748
549	0.1124460914
550	0.1123834718
551	0.112267766
552	0.1122127804
553	0.1121694829
554	0.1121277607
555	0.1120642702
556	0.1119028248
557	0.1117974302
558	0.1117053622
559	0.1116277249
560	0.111503191
561	0.1114021085
562	0.1113513388
563	0.1113167984
564	0.1112851548
565	0.1112506948
566	0.1112101742
567	0.1111382357
568	0.1110459224
569	0.1109840364
570	0.110940403
571	0.1108734381
572	0.1107401439
573	0.1106383404
574	0.1105863826
575	0.1105721072
576	0.1105276788
577	0.1104530628
578	0.1103066607
579	0.1102481821
580	0.1101829934
581	0.1101362723
582	0.1100561885
583	0.1099419264
584	0.109882801
585	0.1097880957
586	0.1097329844
587	0.1096559911
588	0.1096275137
589	0.1095881165
590	0.1095317727
591	0.1094315918
592	0.1093256878
593	0.1092694096
594	0.1091869347
595	0.1090728964
596	0.1089888359
597	0.1089198848
598	0.1088250331
599	0.1087626864
600	0.1087244143
601	0.1086724292
602	0.1086366949
603	0.1086095869
604	0.1085412218
605	0.1084453591
606	0.1084077982
607	0.1083579277
608	0.108282269
609	0.108233324
610	0.1081823654
611	0.1081400807
612	0.1080892532
613	0.1079415694
614	0.1078766652
615	0.1078567149
616	0.1078038595
617	0.1077852092
618	0.1076712907
619	0.1076285371
620	0.1076130215
621	0.107554902
622	0.1074932828
623	0.1074729294
624	0.107401442
625	0.1073736934
626	0.1072304477
627	0.1071460627
628	0.1070728251
629	0.1070290201
630	0.1069084496
631	0.1067953966
632	0.106717685
633	0.1066870803
634	0.1066532622
635	0.1065632865
636	0.1065287568
637	0.1064549698
638	0.1064164391
639	0.1063099133
640	0.1062393279
641	0.1061998682
642	0.1061197163
643	0.106048169
644	0.1059720356
645	0.1058516837
646	0.1058017132
647	0.1057533716
648	0.1057247391
649	0.1056264085
650	0.1055785041
651	0.1055182728
652	0.1054732626
653	0.1053617903
654	0.1053041562
655	0.1052031223
656	0.1051738212
657	0.1051223898
658	0.1050773505
659	0.1050355216
660	0.104984268
661	0.1049335391
662	0.1048559375
663	0.104815618
664	0.1046846874
665	0.1045553289
666	0.10446947
667	0.1043735853
668	0.1043054879
669	0.1042651644
670	0.1042445959
671	0.1042252858
672	0.1041030507
673	0.1040340442
674	0.1039735057
675	0.1039690091
676	0.1038424679
677	0.1037552339
678	0.1036678599
679	0.1035858993
680	0.1035202959
681	0.1034836011
682	0.1034467742
683	0.1033871602
684	0.103344337
685	0.1032328993
686	0.1031836579
687	0.1031017962
688	0.1029943645
689	0.1029582141
690	0.1029032987
691	0.102839446
692	0.1027985375
693	0.1027835664
694	0.1027182656
695	0.1026785222
696	0.1026317064
697	0.1026029955
698	0.1025666602
699	0.1025485652
700	0.1025175032
701	0.1024039136
702	0.1023561237
703	0.1022764981
704	0.1021842431
705	0.1021040207
706	0.1020072705
707	0.1019567716
708	0.1019085948
709	0.1018695475
710	0.101847337
711	0.1017256853
712	0.1016655822
713	0.1016115615
714	0.101575945
715	0.1015341593
716	0.1014726804
717	0.1014494674
718	0.1014346762
719	0.1013766348
720	0.1013354861
721	0.1012885309
722	0.1012504094
723	0.1012111679
724	0.1011156801
725	0.1010663827
726	0.1010129293
727	0.100937659
728	0.1008306434
729	0.1007891938
730	0.1007468595
731	0.1007126699
732	0.1006734153
733	0.1006545751
734	0.1006311791
735	0.100590885
736	0.1005098574
737	0.1004224939
738	0.1003707252
739	0.1003380352
740	0.1002724438
741	0.1002217111
742	0.1001829225
743	0.1001285049
744	0.1000905952
745	0.1000151548
746	0.09988137877
747	0.09980530965
748	0.09976983845
749	0.09975638877
750	0.09969479088
751	0.09964407787
752	0.09955522904
753	0.09950202561
754	0.09948080232
755	0.0993792778
756	0.09928790079
757	0.09924487514
758	0.09922628522
759	0.09916407539
760	0.0991158384
761	0.09899013771
762	0.0989738978
763	0.0989364673
764	0.09890280731
765	0.09885610016
766	0.0987708762
767	0.09872402632
768	0.09866821832
769	0.09863781771
770	0.09856681725
771	0.09853634278
772	0.0984956088
773	0.0984731597
774	0.09845480019
775	0.09839632129
776	0.09834633872
777	0.09830667526
778	0.09822757879
779	0.0981907536
780	0.09815039759
781	0.09811414958
782	0.0980693976
783	0.09804133523
784	0.09802889166
785	0.09800600444
786	0.09797090421
787	0.09789461402
788	0.09781241651
789	0.09774769877
790	0.09771170216
791	0.09768238272
792	0.09764719033
793	0.09756498748
794	0.09753632003
795	0.09750693548
796	0.09745313719
797	0.09740417339
798	0.09729526698
799	0.09719766953
800	0.09717627764
801	0.09713497661
802	0.09708030269
803	0.09702013068
804	0.09695311705
805	0.09685276599
806	0.09682102046
807	0.0967123887
808	0.09662619376
809	0.09658564378
810	0.09655147685
811	0.09642839861
812	0.09639167546
813	0.09634431332
814	0.0963009525
815	0.09625982795
816	0.09622268608
817	0.09619325223
818	0.09611022818
819	0.09604094879
820	0.09599252962
821	0.09595006557
822	0.09592155095
823	0.09588697424
824	0.0958634086
825	0.09580590946
826	0.09574994636
827	0.09572893764
828	0.09569498055
829	0.09567831843
830	0.09557462103
831	0.09552252659
832	0.09545072674
833	0.0953528245
834	0.09528210391
835	0.09521990524
836	0.09518731427
837	0.095111737
838	0.09505052108
839	0.09499436769
840	0.09493940134
841	0.09485871505
842	0.09482542385
843	0.09477267887
844	0.09469847033
845	0.09464888366
846	0.09461092293
847	0.0945858826
848	0.09456181108
849	0.09454220827
850	0.09449095411
851	0.09446289997
852	0.0944472465
853	0.09442140736
854	0.09440495139
855	0.0943448975
856	0.09432707249
857	0.09428678546
858	0.09419662402
859	0.09413610738
860	0.0940797232
861	0.094028828
862	0.0939613545
863	0.09388907044
864	0.09384065278
865	0.09380419433
866	0.09375968049
867	0.09372027224
868	0.09367733421
869	0.09359683456
870	0.09352976271
871	0.09350774883
872	0.09349522215
873	0.09346701055
874	0.09339708747
875	0.09336206494
876	0.09332884048
877	0.09331584928
878	0.09322575698
879	0.09320404225
880	0.09310922035
881	0.09307374303
882	0.0930446173
883	0.09299239974
884	0.09293139783
885	0.09290123417
886	0.09284376967
887	0.09281806577
888	0.09277378826
889	0.09275018939
890	0.09270364846
891	0.09266676032
892	0.09263359694
893	0.09261414784
894	0.09255141762
895	0.09251328463
896	0.09248045302
897	0.0924644241
898	0.09240996849
899	0.09239297267
900	0.09234109958
901	0.09227465867
902	0.09221784053
903	0.09217154556
904	0.09212056468
905	0.09209496568
906	0.09203645531
907	0.09195103086
908	0.09191676637
909	0.09188544276
910	0.09183337806
911	0.09181224982
912	0.0917545272
913	0.09174086268
914	0.09164634684
915	0.09155765938
916	0.09148673024
917	0.09139293755
918	0.09134221505
919	0.09123122668
920	0.09116608438
921	0.09113678988
922	0.09112222361
923	0.09106810536
924	0.09103490857
925	0.09100607047
926	0.09093687607
927	0.09091745935
928	0.09088190198
929	0.09085877263
930	0.09083508116
931	0.09082176917
932	0.09076809918
933	0.09071400587
934	0.09066897757
935	0.09060701279
936	0.09057530449
937	0.09052852581
938	0.09049805231
939	0.09047963332
940	0.09043053596
941	0.0904120649
942	0.09039635408
943	0.09038176034
944	0.09036390034
945	0.09033250032
946	0.09031663874
947	0.09025664372
948	0.09020907484
949	0.09015828842
950	0.09013039245
951	0.09006517337
952	0.09004658479
953	0.08996342292
954	0.0899147316
955	0.08990313005
956	0.08983056551
957	0.08978301451
958	0.08974431047
959	0.08968754358
960	0.08965962684
961	0.08958705094
962	0.08952801237
963	0.08946915796
964	0.08942306928
965	0.08940199758
966	0.08937054675
967	0.08931702595
968	0.08926336868
969	0.08923260686
970	0.0892004005
971	0.08916054856
972	0.08915396653
973	0.08908324816
974	0.08903194912
975	0.08894604581
976	0.08889004725
977	0.08887412251
978	0.08881266401
979	0.08878505854
980	0.08874727245
981	0.0886926317
982	0.08867375512
983	0.08862839794
984	0.08856770579
985	0.08852870388
986	0.08848267928
987	0.0884092208
988	0.08839114328
989	0.0883632277
990	0.08835210199
991	0.08831913398
992	0.08827549452
993	0.08819055218
994	0.08812652308
995	0.0880596216
996	0.08801786084
997	0.08796908524
998	0.08793898325
999	0.08793083039
